Distributor,Name,URL ,Dosage (mg),Per Measure,Measure,Dosage per measure,Product Image,,,,,Amazon Associate ID 
Amazon,"Nature Made Zinc 30 mg, Dietary Supplement for Immune Health and Antioxidant Support",https://www.amazon.com/Nature-Made-Zinc-Gluconate-Tablets/dp/B0000DJAPU/ref=sr_1_10?crid=3H95KAR20PASN&keywords=zinc+nature+made+kids&qid=1688079368&sprefix=zinc+nature+ma+kids%2Caps%2C148&sr=8-10,30,1,tablet,30,https://m.media-amazon.com/images/I/71H7yZbuVjL._AC_SX679_.jpg,,,,,"<iframe sandbox=""allow-popups allow-scripts allow-modals allow-forms allow-same-origin"" style=""width:120px;height:240px;"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" frameborder=""0"" src=""//ws-na.amazon-adsystem.com/widgets/q?ServiceVersion=20070822&OneJS=1&Operation=GetAdHtml&MarketPlace=US&source=ss&ref=as_ss_li_til&ad_type=product_link&tracking_id=zincucsf-20&language=en_US&marketplace=amazon&region=US&placement=B0000DJAPU&asins=B0000DJAPU&linkId=ae039bfdb210e6996f83c1c4d9fab895&show_border=false&link_opens_in_new_window=true""></iframe>"
Amazon,"Zinc Gummies 10mg for Kids, with Vitamin C & Echinacea",https://www.amazon.com/Gummies-Echinacea-Formulated-Supplement-Chewable/dp/B08WLH75D7/ref=sr_1_7?crid=2OKSCS03ZQ7RD&keywords=zinc+supplements+kids&qid=1688079234&sprefix=zinc+supplements+kid%2Caps%2C150&sr=8-7,10,2,gummy,5,https://m.media-amazon.com/images/I/81hrVXwLQUS._AC_SX679_.jpg,,,,,"<iframe sandbox=""allow-popups allow-scripts allow-modals allow-forms allow-same-origin"" style=""width:120px;height:240px;"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" frameborder=""0"" src=""//ws-na.amazon-adsystem.com/widgets/q?ServiceVersion=20070822&OneJS=1&Operation=GetAdHtml&MarketPlace=US&source=ss&ref=as_ss_li_til&ad_type=product_link&tracking_id=zincucsf-20&language=en_US&marketplace=amazon&region=US&placement=B08WLH75D7&asins=B08WLH75D7&linkId=100df7a843e8f2847880504e5ae35666&show_border=false&link_opens_in_new_window=true""></iframe>"
Amazon,Lifeable Zinc Gummies for Kids - 25mg,https://www.amazon.com/WellWorks-Zinc-Gummies-Kids-Supplement/dp/B08L48DLHB/ref=sr_1_6?crid=2OKSCS03ZQ7RD&keywords=zinc+supplements+kids&qid=1688079291&rdc=1&sprefix=zinc+supplements+kid%2Caps%2C150&sr=8-6,25,1,gummy,25,https://m.media-amazon.com/images/I/81YudyX2KNL._AC_SY879_.jpg,,,,,"<iframe sandbox=""allow-popups allow-scripts allow-modals allow-forms allow-same-origin"" style=""width:120px;height:240px;"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" frameborder=""0"" src=""//ws-na.amazon-adsystem.com/widgets/q?ServiceVersion=20070822&OneJS=1&Operation=GetAdHtml&MarketPlace=US&source=ss&ref=as_ss_li_til&ad_type=product_link&tracking_id=zincucsf-20&language=en_US&marketplace=amazon&region=US&placement=B08L48DLHB&asins=B08L48DLHB&linkId=752ea44ad64154a1bf5211d7aa6855df&show_border=true&link_opens_in_new_window=true""></iframe>"
Amazon,Yuve Natural Vegan Zinc Supplements 50mg,https://www.amazon.com/Yuve-Vegan-Natural-Zinc-Supplement/dp/B0797Z3YP9/ref=sr_1_21_sspa?crid=3H95KAR20PASN&keywords=zinc+nature+made+kids&qid=1688079416&rdc=1&sprefix=zinc+nature+ma+kids%2Caps%2C148&sr=8-21-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1,50,1,tablet,50,https://m.media-amazon.com/images/I/81onvvcu6UL._AC_SX679_.jpg,,,,,"<iframe sandbox=""allow-popups allow-scripts allow-modals allow-forms allow-same-origin"" style=""width:120px;height:240px;"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" frameborder=""0"" src=""//ws-na.amazon-adsystem.com/widgets/q?ServiceVersion=20070822&OneJS=1&Operation=GetAdHtml&MarketPlace=US&source=ss&ref=as_ss_li_til&ad_type=product_link&tracking_id=zincucsf-20&language=en_US&marketplace=amazon&region=US&placement=B0797Z3YP9&asins=B0797Z3YP9&linkId=c91a370d06936bfcaee3dc86164d4d89&show_border=true&link_opens_in_new_window=true""></iframe>"
Amazon,"Nature’s Way Zinc Gummies, Supports Immune Function*",https://www.amazon.com/Natures-Way-Supports-Function-Flavored/dp/B08RT3NLGZ ,11,1,gummy,11,https://m.media-amazon.com/images/I/61IOhRwHB3L._AC_SY879_.jpg,,,,,"<iframe sandbox=""allow-popups allow-scripts allow-modals allow-forms allow-same-origin"" style=""width:120px;height:240px;"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" frameborder=""0"" src=""//ws-na.amazon-adsystem.com/widgets/q?ServiceVersion=20070822&OneJS=1&Operation=GetAdHtml&MarketPlace=US&source=ss&ref=as_ss_li_til&ad_type=product_link&tracking_id=zincucsf-20&language=en_US&marketplace=amazon&region=US&placement=B08RT3NLGZ&asins=B08RT3NLGZ&linkId=7e48d26391132e0cf3e7d110fa3544b1&show_border=true&link_opens_in_new_window=true""></iframe>"
Target,MegaFood Zinc Vegan Tablets,https://www.target.com/p/megafood-zinc-vegan-tablets/-/A-88262486?preselect=81816749#lnk=sametab,22.5,1,tablet,22.5,https://target.scene7.com/is/image/Target/GUEST_1c7bdd53-f416-4df5-87a5-83ccad0f97fb?wid=445&hei=445&qlt=80&fmt=webp,,,,,
Target,Nature Made Zinc Gummies - 60ct,https://www.target.com/p/nature-made-zinc-gummies-60ct/-/A-84778394#lnk=sametab,30,2,tablets,15,https://target.scene7.com/is/image/Target/GUEST_24697116-5972-400c-89de-e05154e345b8?wid=445&hei=445&qlt=80&fmt=webp,,,,,
Target,Zinc Dietary Supplement Caplets - 200ct - up & up™,https://www.target.com/p/zinc-dietary-supplement-caplets-200ct-up-38-up-8482/-/A-11034448#lnk=sametab,50,1,capsule,50,https://target.scene7.com/is/image/Target/GUEST_2e057966-c491-42f4-a856-85339b0231fa?wid=445&hei=445&qlt=80&fmt=webp,,,,,
Target,Nature Made Zinc 30mg Dietary Supplement Tablets for Antioxidant and Immune Support - 100ct,https://www.target.com/p/nature-made-zinc-30mg-dietary-supplement-tablets-for-antioxidant-and-immune-support-100ct/-/A-80932339#lnk=sametab,30,1,tablet,30,https://target.scene7.com/is/image/Target/GUEST_a2e42984-9471-4b9b-84ec-0e07f13a04f7?wid=445&hei=445&qlt=80&fmt=webp,,,,,
Target,Horbaach Zinc Picolinate 100mg | 180 Capsules,https://www.target.com/p/horbaach-zinc-picolinate-100mg-180-capsules/-/A-87425096#lnk=sametab,100,2,capsules,50,https://target.scene7.com/is/image/Target/GUEST_1a17cbd3-3b2e-4c8b-b6d1-8e653f1103de?wid=445&hei=445&qlt=80&fmt=webp,,,,,
